Vacancy;Company;Location
Modem SW Integration and Test Engineer;Qualcomm;San Diego, CA
Cloud Engineering Tools Developer;Qualcomm;San Diego, CA
Quality Engineer- mid level;Synopsys Inc;Yerevan, Armenia
Senior DevOps Engineer - Atlassian Suite;Skyworks Solutions, Inc.;Austin, TX
Silicon Design Engineer 2;AMD;Shanghai, Shanghai, China
Silicon Design Engineer 2;AMD;Shanghai, Shanghai, China
Silicon Design Engineer 2;AMD;Shanghai, Shanghai, China
Silicon Design Engineer 1 (115681);AMD;Boxborough, MA
Software Engineer for Extended Reality (Virtual Reality);Qualcomm;Shenzhen, Guangdong, China
Lead Engineer, Senior - Auto Telematics Services;Qualcomm;Bengaluru, Karnataka, India
Spring Intern - Software Development Engineering;Cirrus Logic;Austin, TX
R&D Engineer, Sr II;Synopsys Inc;Bengaluru, Karnataka, India
Principal Product Validation Engineer (Greater Boston area);Cadence Design Systems;Burlington, ON
Software Engineer;Cadence Design Systems;Shanghai, Shanghai, China
FUNCTIONAL SAFETY ENGINEER, CADENCE/TENSILICA PROCESSOR IP;Cadence Design Systems;Pune, Maharashtra, India
R&D Engineer, Sr II;Synopsys Inc;Noida, Uttar Pradesh, India
Sr. Engineer – Machine Learning Systems;Qualcomm;Raleigh, NC
Firmware Engineer;Mythic;Austin, TX
R&D Engineer, Staff;Synopsys Inc;Bengaluru, Karnataka, India
Analog Design Engineer, Sr. Staff;Synopsys Inc;Toronto, ON
Automotive IT Engineer - Cork, Ireland;Qualcomm;Cork, County Cork, Ireland
Analog Design Engineer, Sr. Staff;Synopsys Inc;Boxborough, MA
Specialist Software Engineer (remote work possible);u-blox;Sgonico, Friuli-Venezia Giulia, Italy
Intern (Technical-Engineering);Synopsys Inc;Noida, Uttar Pradesh, India
Senior Software Quality Engineer;Broadcom Inc.;San Jose, CA
SR. SILICON DESIGN ENGINEER;AMD;Sydney, New South Wales, Australia
Diagnostics Software Engineer 2 - 110682;AMD;Austin, TX
Staff ASIC Design Engineer-AI Engine;Xilinx;San Jose, CA
Software Engineer – Developer Tools;Synopsys Inc;Marlboro, MA
Firmware/Software Engineer AMTS;Maxim Integrated;Sophia Antipolis, Provence-Alpes-Côte d'Azur, France
DevOps Software Engineer;Xilinx;San Jose, CA
Senior Engineer I - Firmware Development;Microchip Technology Inc.;Bengaluru, Karnataka, India
SSD Reliability System Engineer Validation Lead (Staff Engineer / Senior Staff Engineer);SK hynix memory solutions America Inc.;San Jose, CA
Lead Product Validation Engineer;Cadence Design Systems;Belo Horizonte, Minas Gerais, Brazil
Software Engineer II (R35485/ba);Cadence Design Systems;Burlington, MA
Software Engineer II (R35153/sc);Cadence Design Systems;Burlington, MA
Sr. Principal Software Engineer (R35663/sc);Cadence Design Systems;Burlington, MA
Principal Software Engineer (R34376/fm);Cadence Design Systems;United States
Software Engineer – Developer Tools;Synopsys Inc;Pasadena, CA
Senior R&D Engineer;Synopsys Inc;Noida, Uttar Pradesh, India
System Level Test Engineer to Senior (Automotive);Qualcomm;Singapore, Singapore
Lead DevOps Engineer;Synopsys Inc;Colombo, Western, Sri Lanka
SW Engineering-IT Director;Qualcomm;Hyderabad, Telangana, India
Senior IT Engineer – Perforce/DevOps;Qualcomm;San Diego, CA
Automotive IT Engineer;Qualcomm;San Diego, CA
Devops for SW Build - IT Engineer Sr.;Qualcomm;San Diego Metropolitan Area
Physical Design (PnR) Methodology/CAD Engineer - 95263;AMD;Markham, ON
Linux SW Engineer for Machine Learning Solutions;Qualcomm;Bengaluru, Karnataka, India
R&D Engineer, II;Synopsys Inc;Hyderabad, Telangana, India
ASIC Digital Design Engr, II;Synopsys Inc;Wuhan, Hubei, China
Diagnostics SoC Lead - 114050;AMD;Austin, TX
Software System Designer 2;AMD;Bengaluru, Karnataka, India
CPT Auto;Qualcomm;Hyderabad, Telangana, India
Firmware Engineer - Senior (US) (semiconductor, C++, X86));ConnectTel, Inc.;Austin, TX
FPGA Software Engineer;Intel Corporation;San Jose, CA
Principal DevOps Engineer;Ampere;Portland, OR
Principal DevOps Engineer;Ampere;Santa Clara, CA
Principal DevOps Engineer;Ampere;Durham, NC
FUNCTIONAL SAFETY ENGINEER, CADENCE/TENSILICA PROCESSOR IP;Cadence Design Systems;San Jose, CA
Linux SW Engineer for Machine Learning Solutions;Qualcomm;Bengaluru, Karnataka, India
Sr. Engineer;Qualcomm;Hyderabad, Telangana, India
ASIC Digital Design Engr, Staff;Synopsys Inc;Bengaluru, Karnataka, India
QST CPT USB;Qualcomm;Hyderabad, Telangana, India
Staff CAD Engineer;Silicon Labs;Hyderabad, Telangana, India
Digital Design Verification Engineer, Staff;Synopsys Inc;Mumbai, Maharashtra, India
ASIC Mid-End Senior Implementation Engineer;Synopsys Inc;Porto, Porto, Portugal
MTS Software System Design Eng. (82552);AMD;Bengaluru, Karnataka, India
CAD EDA Engineer;Synopsys Inc;Lisbon, Lisbon, Portugal
R&D Engineer, Sr II;Synopsys Inc;Hyderabad, Telangana, India
Senior FPGA / RTL Design Engineer - 83028;AMD;Santa Clara, CA
81134_I/O Diagnostics Engineer;AMD;Shanghai, Shanghai, China
ASIC Digital Design Engr, Sr I;Synopsys Inc;Bengaluru, Karnataka, India
VLSI Design Engineer-Digital;Synopsys Inc;Bengaluru, Karnataka, India
CAD Engineer;Cirrus Logic;Edinburgh, Scotland, United Kingdom
Lead Software Engineer;Cadence Design Systems;Bengaluru, Karnataka, India
Linux System Architect;Synopsys Inc;Austin, TX
Intern (Technical-Engineering);Synopsys Inc;Noida, Uttar Pradesh, India
Linux System Architect;Synopsys Inc;Massachusetts, United States
Linux System Architect;Synopsys Inc;Dulles, VA
DevOps Software Engineer- 114135;AMD;Markham, ON
Sr. Engineer II-Software;Microchip Technology Inc.;San Jose, CA
Diagnostics Software Engineer - Distributed Virtual Memory (DVM)-110683;AMD;Austin, TX
Linux System Architect;Synopsys Inc;Ottawa, ON
Product Development Engineer 1;AMD;Penang, Malaysia
ASIC Digital Design Engr, Sr II;Synopsys Inc;Bengaluru, Karnataka, India
Linux System Architect;Synopsys Inc;Hillsboro, OR
Principal Product Validation Engineer - Packaging Design;Cadence Design Systems;Boston, MA
DevOps工程师;Shanghai, Shanghai, China;1 week ago
Senior Embedded Software Development Engineer;Analog Devices;Raleigh, NC
Senior Multimedia Diagnostics Engineer - 113054;AMD;Markham, ON
SMTS Firmware Engineer;AMD;Austin, TX
DevOps Build Requirement Contractor;Xilinx;San Jose, CA
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;San Jose, CA
Software Engineering Manager for Operations;Acacia Communications, now part of Cisco;Maynard, MA
Senior IT Systems Engineer;Mythic;Redwood City, CA
Systems Regression Engineer (1 yr Contract) - 90861;AMD;Markham, ON
R&D Engineer, II;Synopsys Inc;Bengaluru, Karnataka, India
Sr Automation/Regression Infrastructure Developer- 97983;AMD;Austin, TX
Senior DevOps Engineer (SW Build) - Cork, Ireland;Qualcomm;Cork, County Cork, Ireland
Engineer I - Sofware;Microchip Technology Inc.;Chennai, Tamil Nadu, India
Design Eng 2;Lattice Semiconductor;Muntinlupa City, National Capital Region, Philippines
R&D Engineer, II;Synopsys Inc;Santiago, Santiago Metropolitan, Chile
R&D Engineer, II;Synopsys Inc;Santiago, Santiago Metropolitan, Chile
MTS Firmware Engineer;AMD;Shanghai, Shanghai, China
Senior DevOps Engineer;Synopsys Inc;Bengaluru, Karnataka, India
System Design Engineer - Automation Infrastructure & Tools Developer - 117361;AMD;Austin, TX
MIPI UFS/Unipro ASIC Digital Design Engineer, Staff;Synopsys Inc;Bengaluru, Karnataka, India
Full Stack Automation Infrastructure Developer - 97982;AMD;Markham, ON
DevOps Engineer, Staff to Senior Staff;Ampere;Bengaluru, Karnataka, India
Senior Software Development Engineer;Xilinx;San Jose, CA
Senior Software Engineer, GPU ASIC Design - 110202;AMD;Sydney, New South Wales, Australia
Firmware Engineer 2- 113081;AMD;Markham, ON
DFT Design Automation Engineer;Ampere;Santa Clara, CA
Design Methodologies Manager;Mythic;Austin, TX
Physical Design (PD) Methodology/CAD Engineer - 93441;AMD;Austin, TX
Senior Implementation Engineer;Synopsys Inc;Porto, Porto, Portugal
Software Engineer (f/m/d);Intel Corporation;Munich, Bavaria, Germany
Senior Staff Verification Engineer;Marvell India;Bengaluru, Karnataka, India
Staff Verification Engineer;Marvell India;Bengaluru, Karnataka, India
Infrastructure and Automation DV Engineer - 94963;AMD;Markham, ON
Physical Verification Engineer (107886);AMD;Bengaluru, Karnataka, India
Radio Firmware Engineer;Samsung Cambridge Solution Centre;Cambridge, England, United Kingdom
Senior CAD Engineer;Lattice Semiconductor;San Jose, CA
CAD Manager;Mythic;Austin, TX
ASIC Digital Design Engr, II;Synopsys Inc;Bengaluru, Karnataka, India
Sr. Tools Engineer- 116961;AMD;Austin, TX
Senior Program Manager - QCT Graphics Program Management;Qualcomm;San Diego, CA
Principal Engineer-Firmware;Microchip Technology Inc.;San Jose, CA
Low-Power Audio Subsystem Engineering Internship (4 or 16 months);Qualcomm;Markham, ON
Senior Analog Development Engineer;Micron Technology;Munich, Bavaria, Germany
Firmware Engineer;Cadence Design Systems;Shanghai, Shanghai, China
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Toronto, ON
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Staff DevOps Engineer;Ampere;Durham, NC
Staff DevOps Engineer;Ampere;Santa Clara, CA
Lead Software Engineer;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
MTS FGPA Platform Design Engineer;AMD;Penang, Malaysia
Software engineer II;Cadence Design Systems;Beijing, Beijing, China
Intern (Technical-Engineering);Synopsys Inc;Noida, Uttar Pradesh, India
Principal Software Engineer;Cadence Design Systems;San Jose, CA
Device Driver Development Interns;MaxLinear;Singapore, Singapore
Digital Design Engineer;Silicon Labs;Singapore, Singapore
Lead Software Engineer;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
Configuration Management Engineer II;Cadence Design Systems;Noida, Uttar Pradesh, India
SR. Wafer Fab Tool Install Engineer – FACILITIES;Western Digital;San Jose, CA
Linux System Architect;Synopsys Inc;Mountain View, CA
Lead Software Engineer;Cadence Design Systems;Shanghai, Shanghai, China
System Design Engineer - Automation Infrastructure - 94689;AMD;Markham, ON
Staff DevOps Engineer;Ampere;Portland, OR
Sr. Software System Designer (82870);AMD;Bengaluru, Karnataka, India
Sr. Systems Design Engineer ( system integration, regression and release management) - 116242;AMD;Austin, TX
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;San Jose, CA
Systems Design Engineer 2 - 116041;AMD;Markham, ON
Ethernet ASIC Digital Design Architect, Sr Staff;Synopsys Inc;Bengaluru, Karnataka, India
Cellular Engineer – Customer Support Platform;Samsung Electronics America;San Diego, CA
Senior Project Engineer - WebTech;Soliton Technologies;Bengaluru, Karnataka, India
Senior Project Engineer - C#;Soliton Technologies;Bengaluru, Karnataka, India
Engineer II-Design;Microchip Technology Inc.;Burnaby, BC
SENIOR EMBEDDED SOFTWARE ENGINEER II;Sventl Asia Pacific;Singapore, Singapore
SENIOR EMBEDDED SOFTWARE ENGINEER I;Sventl Asia Pacific;Singapore, Singapore
Senior Embedded Developer;Sventl Asia Pacific;Singapore, Singapore
Digital Design Verification Engineer;NoBug Consulting;Braşov, Romania
Digital Design Verification Engineer;NoBug Consulting;Iaşi, Romania
Digital Design Verification Engineer;NoBug Consulting;Bucharest, Romania
DV - Infrastructure and Methodology;NUVIA Inc;Santa Clara, CA
配置管理工程师;Fenda Technology Co., Ltd;Xi'an, Shaanxi, China
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;San Jose, CA
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Toronto, ON
Design Methodology Engineer – Digital Design Flow;MediaTek;Austin, TX
CAD Infrastructure DevOps Engineer;Xilinx;Hyderabad, Telangana, India
Senior DevOps Engineer;Xilinx;San Jose, CA
资深芯片设计CAD工程师（ Senior IC CAD ）;武汉杰开科技有限公司;Shenzhen, Guangdong, China
DevOps Manager;Xilinx;Hyderabad, Telangana, India
Software Quality Management Engineer;MediaTek;Shanghai, Shanghai, China
Senior Automation Tester;PamTen Inc;Dallas, TX
EFI Diags DRI --上海;深圳市鼎峰智能技术有限公司;Shanghai, Shanghai, China
Senior Verification Engineer;CAVIUM NETWORKS;Bengaluru, Karnataka, India
安卓开发工程师(软件);益逻触控系统(苏州)有限公司;Suzhou, Jiangsu, China
配置管理工程师;Shenzhen Fenda Technology Co., Ltd.;Xi'an, Shaanxi, China
软件测试平台架构师;Shanghai, Shanghai, China;1 month ago
Analog CAD Staff Engineer;MaxLinear;Singapore, Singapore
Engineer II - SoC Implementation;Microchip Technology Inc.;Bengaluru, Karnataka, India
DV - Infrastructure and Methodology;NUVIA Inc;Austin, TX
Validation Tool Development - AI Core;Enflame;Shanghai, Shanghai, China
Senior/Lead Asic Verification Engineer (AMBA/Ethernet/PCIE/USB/DDR/SerDes);Synopsys Inc;Bengaluru, Karnataka, India
Staff Engineer Digital CAD;MaxLinear;Singapore, Singapore
Sr. Firmware Engineer;超威半导体(上海)有限公司;Shanghai, Shanghai, China
Senior Agile Atlassian Tools Engineer;Western Digital;Bengaluru, Karnataka, India
Fall 2021 CPU Post-Silicon Debug Co-Op/Intern Engineer - (111406);AMD;Austin, TX
FPGA PROTOTYPING / EMULATION ENGINEER;Incise Infotech Private Limited;Hyderabad, Telangana, India
Senior Staff Verification Engineer;CAVIUM NETWORKS;Bengaluru, Karnataka, India
Automation Control Engineer;Incise Infotech Private Limited;Hyderabad, Telangana, India
Staff Verification Engineer;QLOGIC SOLUTIONS PVT LTD;Bengaluru, Karnataka, India
Senior Design Engineer;Xilinx;Singapore, Singapore
Staff CAD Engineer;MaxLinear;Villach, Carinthia, Austria
Wireless Test Engineer;LeadStack Inc.;San Jose, CA
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Silicon CAD Engineer [Toronto &/or Remote];Untether AI;Toronto, ON
Digital Verification Engineer/Manager;日照志芯源电子科技有限公司;Beijing, Beijing, China
Principal Engineer-Software;Microchip Technology Inc.;San Jose, CA
Tech Staff;Microchip Technology Inc.;Hyderabad, Telangana, India
Sr. Engineer II-Software;Microchip Technology Inc.;Kitchener, ON
Senior Engineer I;Microchip Technology Inc.;Hyderabad, Telangana, India
Senior Engineer I;Microchip Technology Inc.;Punjab, India
Atlassian System Administrator and Developer;Microchip Technology Inc.;Chennai, Tamil Nadu, India
Senior Engineer II-Software;Microchip Technology Inc.;Kitchener, ON
Principal Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Principal Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Toronto, ON
Principal Engineer-Software;Microchip Technology Inc.;Toronto, ON
Senior Software Engineer 2;Xilinx;Hyderabad, Telangana, India
Senior DevOps Engineer - Atlassian Suite;Skyworks Solutions, Inc.;Austin, TX
Senior/Staff Engineer Digital CAD;MaxLinear;Singapore, Singapore
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Toronto, ON
Senior Engineer I - Design;Microchip Technology Inc.;Chennai, Tamil Nadu, India
HW前端工程师;一合人力集团 YIHE Consulting Group;China
高级软件工程师-编译器专家;一合人力集团 YIHE Consulting Group;China
Cellular Engineer – Customer Support Platform;Samsung Electronics America;San Jose, CA
Staff Software Engineer;MaxLinear;Bengaluru, Karnataka, India
Sr Verification & Design Engineer;Microchip Technology Inc.;Chennai, Tamil Nadu, India
Senior Engineer, Physical Design;Analog Devices;Bengaluru, Karnataka, India
Senior Engineer, Physical Design;Analog Devices;Bengaluru, Karnataka, India
Staff Engineer, ASIC Development Engineering;Western Digital;Bengaluru, Karnataka, India
EDA Software Engineer;Microchip Technology Inc.;Hyderabad, Telangana, India
Senior Engineer I - Firmware Development;Microchip Technology Inc.;Bengaluru, Karnataka, India
SoC Mixed Signal Verification Engr-资深混合信号验证工程师;宁波奥拉半导体;Shanghai, Shanghai, China
Senior Technical Staff Engineer - Software;Microchip Technology Inc.;Rousset, Provence-Alpes-Côte d'Azur, France
Embedded Linux Software Engineer;Analog Devices;Limerick, County Limerick, Ireland
Diagnostic Client Server Release Engineer;上海世谛集成电路设计有限公司;Shanghai, Shanghai, China
Sr Verification & Design Engineer;Microchip Technology Inc.;Chennai, Tamil Nadu, India
Validation Tool Development - Memory;Enflame;Shanghai, Shanghai, China
