Vacancy;Company;Location
Senior Software Engineer - Web ERP;Microchip Technology Inc.;Bengaluru, Karnataka, India
Microservices Developer;PamTen Inc;Peapack - Gladstone, NJ
Principal Engineer, Firmware Engineering;Western Digital;San Jose, CA
SSD Firmware Test Engineer;Encore Semi, Inc.;Irvine, CA
Fall 2022 Test Engineering Co-Op/Intern- (116606);AMD;Austin, TX
Summer 2022 Test Engineer Co-Op/Intern- (116605);AMD;Austin, TX
Data Engineer;Arrow Electronics;Bengaluru, Karnataka, India
Software-Entwickler Webtechnologien mit Schwerpunkt Angular (m/w/d);Swiss Timing Ltd;Leipzig, Saxony, Germany
Software Tools/DevOps Engineer - CI/CD Platform;Cirrus Logic;Austin, TX
Ingénieur système Linux et réseaux confirmé;Sequans Communications;Colombes, Île-de-France, France
EDA Software Developer;Synopsys Inc;Gdansk Metropolitan Area
Junior Verification Engineer;HDL Design House;Thessaloniki Metropolitan Area
Senior Automation and WLAN Testing/QA Engineer;INNOPHASE;Bengaluru, Karnataka, India
Lead DevOps Engineer;ASML;Veldhoven, North Brabant, Netherlands
EDA Driver and API Developer;Synopsys Inc;Gdansk Metropolitan Area
Software System Designer 2;AMD;Bengaluru, Karnataka, India
Software Engineer, Embedded .NET Development (C#/.NET, C++);ConnectTel, Inc.;Austin, TX
Firmware Engineer - Senior (US) (semiconductor, C++, X86));ConnectTel, Inc.;Austin, TX
Senior Firmware Engineer (Memory Subsystems);AMD;Singapore, Singapore
Intern - Embedded Software Test Engineer;Cirrus Logic;Austin, TX
Spring 2022 Test Engineering Co-Op/Intern- (116604);AMD;Austin, TX
C# Developer, Intermedidate;The PEER Group Inc.;Kitchener, ON
Senior Project Engineer - JAVA;Soliton Technologies;Bengaluru, Karnataka, India
Perl Developer;NXP Semiconductors;Noida, Uttar Pradesh, India
Software Engineer;Maxim Integrated;Istanbul, Istanbul, Turkey
Test Engineer (Safety Critical System Engineering);u-blox;Tampere, Pirkanmaa, Finland
Digital Design Verification Engineer, Staff;Synopsys Inc;Mumbai, Maharashtra, India
Diagnostics Engineer- Memory and High-Speed Interconnects - 92385;AMD;Markham, ON
Product Development Eng.- 100649;AMD;Austin, TX
MTS Software System Design Eng. (82552);AMD;Bengaluru, Karnataka, India
Product Development Engineer 2 - 88901;AMD;Austin, TX
Product Development Engineer 2- 102041;AMD;Austin, TX
Lead Design Engineer;Cadence Design Systems;Nanjing, Jiangsu, China
Intern (Technical-Engineering);Synopsys Inc;Noida, Uttar Pradesh, India
ATE Test Engineer;AMD;Austin, TX
Sr. Engineer II-Software;Microchip Technology Inc.;San Jose, CA
Principal Engineer-Software;Microchip Technology Inc.;San Jose, CA
Engineer I-Software;Microchip Technology Inc.;Chandler, AZ
Product Development Eng.- 117678;AMD;Austin, TX
Product Development Engineer- 117679;AMD;Austin, TX
Product Development Engineer- 117680;AMD;Austin, TX
Node.JS_Senior Engineer Level 2;Arrow Electronics;Ahmedabad, Gujarat, India
Engineer II - CAD (Analog CAD Support - Simulation);Microchip Technology Inc.;Chandler, AZ
Lead Software Engineer;Maxim Integrated;Istanbul, Istanbul, Turkey
软件AE工程师;纽瑞芯科技;Shenzhen, Guangdong, China
SDK软件工程师;纽瑞芯科技;Shenzhen, Guangdong, China
嵌入式软件工程师;深圳市吉迩科技有限公司;Shenzhen, Guangdong, China
Senior Embedded Software Test Engineer;Cirrus Logic;London, England, United Kingdom
Senior Embedded Software Development Engineer;Analog Devices;Raleigh, NC
Java Developer;Maxim India Integrated Circuit Design Pvt Ltd;Gandhinagar, Gujarat, India
Senior Embedded Software Test Engineer;Cirrus Logic;Austin, TX
C/C++ Embedded Software Design Engineer;ASML;Veldhoven, North Brabant, Netherlands
TEST ENGINEER;Infineon Technologies;San Jose, CA
Senior Software Engineer - Test & Factory Equipment;Nexperia;Nijmegen, Gelderland, Netherlands
Senior Radio Firmware Developer Engineer;NXP Semiconductors;Caen, Normandy, France
Senior Radio Firmware Developer Engineer;NXP Semiconductors;Caen, Normandy, France
SMTS Firmware Engineer;AMD;Austin, TX
Software/Test Engineer (GNSS Safety-critical Products);u-blox;Tampere, Pirkanmaa, Finland
Diagnostics Engineer (Memory Subsystems);AMD;Singapore, Singapore
Sr. PMM Diagnostics Engineer;AMD;Singapore, Singapore
Senior/Lead Engineer- FPGA Design;Tejas Networks;Bengaluru, Karnataka, India
IT基础架构资深工程师;昕原半导体;Hangzhou, Zhejiang, China
Sr.Engineer/ Principal Engineer;Microchip Technology Inc.;Chennai, Tamil Nadu, India
Test Engineer - Embedded systems;Microchip Technology Inc.;Chennai, Tamil Nadu, India
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;San Jose, CA
Staff Engineer, Software Development Engineering (Apps);Western Digital;Bengaluru, Karnataka, India
Staff Embedded Device Software Engineer - 2001248;Marvell Technology;Irvine, CA
Systems Regression Engineer (1 yr Contract) - 90861;AMD;Markham, ON
Sr Automation/Regression Infrastructure Developer- 97983;AMD;Austin, TX
前端开发工程师;国民技术股份;Shenzhen, Guangdong, China
DevOps Engineer;GOODIX Technology INC.;Leuven, Flemish Region, Belgium
Innovative Senior Researcher;GOODIX Technology INC.;Leuven, Flemish Region, Belgium
SMTS Product Development Eng.- 113043;AMD;Austin, TX
Engineer I - Sofware;Microchip Technology Inc.;Chennai, Tamil Nadu, India
通讯实现工程师（中级/高级）;上海金卓科技;Shanghai, Shanghai, China
测试工程师;华夏智信;Shenzhen, Guangdong, China
Sr. CAD Engineer;SiTime;Delft, South Holland, Netherlands
Fall 2022 Test Engineering Co-op/Intern - (115547);AMD;Austin, TX
System Software Engineer;Analog Devices;Cluj-Napoca, Cluj, Romania
Spring 2022 Test Engineering Co-op/Intern - (115545);AMD;Austin, TX
Spring 2022 Product Development Engineer Co-Op/Intern - (115548);AMD;Austin, TX
Spring 2022 Test Engineer Co-op/Intern - (115544);AMD;Austin, TX
Fall 2022 Product Development Engineering Co-Op/Intern - (115550);AMD;Austin, TX
Summer 2022 Product Development Engineer Co-Op/Intern - (115549);AMD;Austin, TX
C++/Qt Software Engineer;Analog Devices;Cluj-Napoca, Cluj, Romania
R&D Engineer, II;Synopsys Inc;Santiago, Santiago Metropolitan, Chile
R&D Engineer, II;Synopsys Inc;Santiago, Santiago Metropolitan, Chile
MTS Firmware Engineer;AMD;Shanghai, Shanghai, China
System Design Engineer - Automation Infrastructure & Tools Developer - 117361;AMD;Austin, TX
Principal Software Engineer Factory Automation;Nexperia;Hong Kong, Hong Kong SAR
Principal Software Engineer - Factory Automation;Nexperia;Nijmegen, Gelderland, Netherlands
Diagnostics Engineer (Memory Subsystems)- 117055;AMD;Markham, ON
Senior Engineer, MNAND Verification (Advantest);Micron Technology;Hyderabad, Telangana, India
Principal Software Engineer - Test Equipment;Nexperia;Nijmegen, Gelderland, Netherlands
Full Stack Automation Infrastructure Developer - 97982;AMD;Markham, ON
Embedded Engineer;eInfochips (An Arrow Company);Ahmedabad, Gujarat, India
Embedded Engineer (Linux BSP);eInfochips (An Arrow Company);Ahmedabad, Gujarat, India
Firmware Engineer, Senior Staff;Marvell Technology;Santa Clara, CA
Python Software Engineer - Metrology Expose DUV;ASML;Veldhoven, North Brabant, Netherlands
Product Definition Engineer - 109902;AMD;Austin, TX
Senior HPQC Administrator;Maxim Integrated;Bengaluru, Karnataka, India
Firmware Engineer 2- 113081;AMD;Markham, ON
Design Methodologies Manager;Mythic;Austin, TX
Windows Driver Development Engineer;Cirrus Logic;Austin, TX
配置管理工程师;西安奇芯光电;Shenzhen, Guangdong, China
Sr. PHP Developer Laravel/WordPress/Magento;Faststream Technologies;Bangalore Urban, Karnataka, India
Senior Engineer - ReactNative/Flutter;Arrow Electronics;Ahmedabad, Gujarat, India
SPE Verification Engineering;Rambus;San Jose, CA
EDA Driver and API Developer;Synopsys Inc;Warsaw, Mazowieckie, Poland
EDA Software Developer;Synopsys Inc;Cracow, Małopolskie, Poland
EDA Software Developer;Synopsys Inc;Katowice, Śląskie, Poland
EDA Software Developer;Synopsys Inc;Warsaw, Mazowieckie, Poland
EDA Driver and API Developer;Synopsys Inc;Katowice, Śląskie, Poland
EDA Driver and API Developer;Synopsys Inc;Cracow, Małopolskie, Poland
Engineer/Senior Engineer - iOS;Arrow Electronics;Ahmedabad, Gujarat, India
PDK Engineer;Cadence Design Systems;Nanjing, Jiangsu, China
CAD Manager;Mythic;Austin, TX
Linux平台软件开发专家;Hisense Group;Qingdao, Shandong, China
C++软件工程师;Hisense Group;Qingdao, Shandong, China
前端开发工程师;Foxconn;Zhengzhou, Henan, China
Principal Engineer-Firmware;Microchip Technology Inc.;San Jose, CA
Staff Engineer, Firmware Engineering;Western Digital;Shenzhen, Guangdong, China
Software Engineer;u-blox;Malmö, Skane County, Sweden
LTE Algorithm Engineer;Sequans Communications;Biot, Provence-Alpes-Côte d'Azur, France
Firmware Engineer;Cadence Design Systems;Shanghai, Shanghai, China
JAVA工程师;厦门立林集团有限公司;Xiamen, Fujian, China
Product Development Engineer (99165);AMD;Austin, TX
Software Engineering Lead;Maxim Integrated;Istanbul, Istanbul, Turkey
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Toronto, ON
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Kitchener, ON
C/C++ 软件工程师;中国航天国际控股有限公司;Shenzhen, Guangdong, China
MTS Product Development Eng. - 116321;AMD;Austin, TX
Business Process Analyst EAI (MuleSoft & Tibco);ASML;Veldhoven, North Brabant, Netherlands
Product Development Engineer 1 - 103301;AMD;Austin, TX
Product Applications Engineer;Analog Devices;Limerick, County Limerick, Ireland
MTS Software Development Engineer;AMD;Singapore, Singapore
(Senior) SW Methodology Engineer (Continuous Integration, CI) - Athens;Dialog Semiconductor;Athens, Attiki, Greece
Sr. Software System Designer;AMD;Shanghai, Shanghai, China
IOS Developer;PamTen Inc;Irving, TX
Spring 2022 Product Development Engineer Co-Op/Intern - (115542);AMD;Austin, TX
Summer 2022 Product Development Engineer Co-Op/Intern - (115543);AMD;Austin, TX
Fall 2022 Product Development Engineer Co-Op/Intern - (115546);AMD;Austin, TX
Open Source Solutions Architect;Applied Materials;Toronto, ON
Software Engineer;Applied Materials;Bangalore Urban, Karnataka, India
Platform Development Software Engineer (C Programming);ASML;Veldhoven, North Brabant, Netherlands
System Design Engineer - Automation Infrastructure - 94689;AMD;Markham, ON
Sr. Software System Designer (82870);AMD;Bengaluru, Karnataka, India
Firmware QA Engineer, Junior;Marvell Technology;Cordoba, Cordoba, Argentina
Java Developer;Maxim Integrated;Gandhinagar, Gujarat, India
Sr. Systems Design Engineer ( system integration, regression and release management) - 116242;AMD;Austin, TX
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;San Jose, CA
Senior Engineer, DevOps (Apps);Western Digital;Irvine, CA
Senior Software Development Engineer;Synaptics;Katowice, Śląskie, Poland
Systems Design Engineer 2 - 116041;AMD;Markham, ON
Power Management Diagnostic Firmware Engineer - 82673;AMD;Markham, ON
System Integration and Validation Engineer;NXP Semiconductors;Bangalore Urban, Karnataka, India
MTS Product Development Eng.;AMD;Penang, Malaysia
Senior Verification Leader - Battery Management Systems (m/f/d);NXP Semiconductors;Gratkorn, Styria, Austria
Senior/Principal Verification Engineer (m/f/d);NXP Semiconductors;Graz, Styria, Austria
Sr. Product Development Engineer- 99166;AMD;Austin, TX
前端开发工程师;爱谱华顿;Shanghai, Shanghai, China
it运维工程师;纽瑞芯科技;Shenzhen, Guangdong, China
ATE Test Engineer (m/w/d);Dynamic Engineering GmbH;Munich, Bavaria, Germany
java;柯林电气;Beijing, Beijing, China
软件工程师(音箱)(001817);惠州迪芬尼声学科技股份有限公司深圳分公司;Shenzhen, Guangdong, China
嵌入式软件开发工程师;北京微芯区块链与边缘计算研究院;Beijing, Beijing, China
CAD Engineer;Jaguar Microsystems;Shanghai, Shanghai, China
Programmer Analyst 2;Maxim India Integrated Circuit Design Pvt Ltd;Gandhinagar, Gujarat, India
Senior Project Engineer - WebTech;Soliton Technologies;Bengaluru, Karnataka, India
Senior Project Engineer - C#;Soliton Technologies;Bengaluru, Karnataka, India
Programmer Analyst 2;Maxim Integrated;Gandhinagar, Gujarat, India
Senior Engineer I-Computer Aided Design;Microchip Technology Inc.;San Jose, CA
Principal Software Engineer Factory Automation (To base in Hong Kong);Nexperia;Taiwan, Taiwan
Principal Software Engineer Factory Automation (To base in Hong Kong);Nexperia;Singapore, Singapore
Principal Software Engineer Factory Automation (To base in Hong Kong);Nexperia;Penang, Malaysia
PES016 - Embedded linux tester;Mistral Solutions Pvt. Ltd;Bengaluru, Karnataka, India
C# Developer, Senior;The PEER Group Inc.;Kitchener, ON
高级硬件工程师;联芸科技(杭州)有限公司;Hangzhou, Zhejiang, China
Java开发工程师;楚天龙股份有限公司北京分公司;Beijing, Beijing, China
达智汇 - 高级Java研发工程师;友达光电(苏州)有限公司;Suzhou, Jiangsu, China
Java开发工程师;电信科学技术第五研究所有限公司;Chengdu, Sichuan, China
嵌入式软件开发工程师;北京奕斯伟计算技术有限公司;Beijing, Beijing, China
Digital Design Verification Engineer;NoBug Consulting;Braşov, Romania
Digital Design Verification Engineer;NoBug Consulting;Iaşi, Romania
大数据java开发;Neusoft;Guangzhou, Guangdong, China
Digital Design Verification Engineer;NoBug Consulting;Bucharest, Romania
项目经理;安智杰科技;Chengdu, Sichuan, China
应用软件开发工程师;Hirain Technology Lmt. Inc.;Shanghai, Shanghai, China
技术支持开发工程师-SU/I01-HZ-10;联咏电子科技(苏州)有限公司;Hangzhou, Zhejiang, China
智能水表测试工程师;国民技术股份;Shenzhen, Guangdong, China
dsp软件工程师;秦嵩科技;Beijing, Beijing, China
linux系统工程师;上海唯捷创芯电子技术有限公司;Shanghai, Shanghai, China
运维工程师;涌现数字科技;Beijing, Beijing, China
Android开发工程师;优特科技珠海;Zhuhai, Guangdong, China
高级配置管理工程师;Inspur Group;Beijing, Beijing, China
软件测试工程师(校招）;南京集成电路设计服务产业创新中心有限公司;Shanghai, Shanghai, China
Ведущий инженер-программист;Kryukovo, Moscow City, Russia;3 weeks ago
Software and Product Release Engineer (GNSS Automotive);u-blox;Athens, Attiki, Greece
Principal Software Engineer Factory Automation;Nexperia;Hong Kong, Hong Kong SAR
Microservices Developer;PamTen Inc;Peapack - Gladstone, NJ
数字ic验证工程师;纽瑞芯科技;Shenzhen, Guangdong, China
嵌入式软件工程师;浙江芯昇电子技术有限公司;Hangzhou, Zhejiang, China
数字IC验证工程师;纽瑞芯科技;Beijing, Beijing, China
Administrator 4, Systems Administration;Western Digital;Bengaluru, Karnataka, India
Administrator 5, Systems Administration;Western Digital;Bengaluru, Karnataka, India
Professional 4, Information Technology;Western Digital;Bengaluru, Karnataka, India
Staff Engineer, Product Design Engineering;Western Digital;Bengaluru, Karnataka, India
Manager, Information Technology;Western Digital;Bengaluru, Karnataka, India
System Lab Ops Manager;Intel Corporation;Santa Clara, CA
Staff Digital Design Engineer;Skyworks Solutions, Inc.;Nashua, NH
Software Engineer;OmniVision Technologies, Inc.;Santa Clara, CA
(Staff/Sr.) Software Engineer (System & Data);OmniVision Technologies, Inc.;Singapore, Singapore
(Staff/Sr.) Embedded Software Engineer;OmniVision Technologies, Inc.;Singapore, Singapore
ENGINEER-FIRMWARE DEVELOPMENT;美光半导体咨询（上海）有限责任公司;Shanghai, Shanghai, China
嵌入式软件开发;舜宇集团有限公司;Hangzhou, Zhejiang, China
数字IC验证;昆高新芯微电子(江苏)有限公司;Suzhou, Jiangsu, China
web前端工程师（上海）;大华技术;Shanghai, Shanghai, China
配置管理工程师;Fenda Technology Co., Ltd;Xi'an, Shaanxi, China
java开发工程师;Fujian Nebula Electronics Co., Ltd.;Fuzhou, Fujian, China
JAVA开发工程师;思达仪表;Shenzhen, Guangdong, China
前端工程师;湖南国天电子科技有限公司;Changsha, Hunan, China
软件工程师;长川科技;Hangzhou, Zhejiang, China
Software Engineer GUI Applications;默升科技(上海)有限公司;Shanghai, Shanghai, China
android应用开发工程师;Hisense Group;Qingdao, Shandong, China
集成电路设计IT/CAD运维开发工程师;星宸科技股份有限公司;Xiamen, Fujian, China
CAD Engineer;上海楷登电子科技有限公司;Nanjing, Jiangsu, China
c语言开发工程师;优特科技珠海;Zhuhai, Guangdong, China
（下属惠州志顺电子实业有限公司）嵌入式软件工程师;中国航天国际控股有限公司;Huizhou, Guangdong, China
高级java工程师;优特科技珠海;Zhuhai, Guangdong, China
嵌入式软件工程师;华卓精科;Beijing, Beijing, China
ios;柯林电气;Hangzhou, Zhejiang, China
FAE现场应用工程师;芯旺微电子;Shanghai, Shanghai, China
it运维主管;浙江海芯微半导体科技有限公司;Shanghai, Shanghai, China
it系统工程师;浙江海芯微半导体科技有限公司;Shanghai, Shanghai, China
嵌入式软件开发（杭州）;Sunny Optical Technology (Group) Co. Ltd.;Hangzhou, Zhejiang, China
java工程师;BDStar Navigation Co., Ltd.;Beijing, Beijing, China
嵌入式软件工程师;威胜信息;Changsha, Hunan, China
Sr. Staff Embedded Software Engineer;ams OSRAM;Hyderabad, Telangana, India
SRM开发工程师;深圳市三诺数字科技有限公司;Shenzhen, Guangdong, China
嵌入式软件工程师;hkc GmbH;Shenzhen, Guangdong, China
Principal Test Engineer;MKS Instruments;Irvine, CA
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;San Jose, CA
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Toronto, ON
PES011 - Senior embedded linux tester;Mistral Solutions Pvt. Ltd;Bengaluru, Karnataka, India
XMC-CAD工程师;武汉新芯集成电路制造有限公司;Shanghai, Shanghai, China
EDA Engineer;Kandou S.A.;Lausanne, Vaud, Switzerland
DA Engineer(J11359);Yangtze Memory Technologies;Shanghai, Shanghai, China
Physical Design Enginneer;Western Digital;Bengaluru, Karnataka, India
Principal SDE (SWT Debug Tools, WDIN);Western Digital;Bengaluru, Karnataka, India
Senior C++/Qt Software Engineer;Analog Devices;Cluj-Napoca, Cluj, Romania
Firmware QA Junior Engineer;Inphi Corporation;Cordoba, Cordoba, Argentina
Firmware QA Engineer;Inphi Corporation;Cordoba, Cordoba, Argentina
Manager 4, Program Management Engineering;Western Digital;Bengaluru, Karnataka, India
Principal SDE (SWT Debug Tools, WDIN);Western Digital;Bengaluru, Karnataka, India
嵌入式软件工程师;苏州敏芯微电子技术股份有限公司;Suzhou, Jiangsu, China
Embedded Firmware Summer Intern;Skyworks Solutions, Inc.;Austin, TX
Design Methodology Engineer – Digital Design Flow;MediaTek;Austin, TX
IOS开发工程师;中科院计算所南京研究院;Nanjing, Jiangsu, China
嵌入式软件工程师;上海芯满天半导体科技有限公司;Shanghai, Shanghai, China
Linux系统运维工程师 (MJ000660);寒武纪科技;Beijing, Beijing, China
软件工程师（SDK);奥比中光;Shenzhen, Guangdong, China
[2022校招] 高级固件开发工程师;晟碟半导体;Shenzhen, Guangdong, China
Digital Healthcare Systems Algorithm Engineer;Analog Devices;Santa Clara, CA
CAD & IT Support Engineer;智芯半导体;Suzhou, Jiangsu, China
java开发工程师;深圳曼顿科技有限公司;Shenzhen, Guangdong, China
数字IC验证工程师;深圳市纽创信安科技开发有限公司;Shenzhen, Guangdong, China
BSP软件工程师;英恒电子;Chengdu, Sichuan, China
Linux软件工程师;英恒电子;Chengdu, Sichuan, China
项目经理-数字城市业务;中国电子系统技术有限公司;Tianjin, Tianjin, China
Principal Firmware Engineer;Skyworks Solutions, Inc.;Austin, TX
Senior Software Development Engineer;Edwards Vacuum;Eastbourne, England, United Kingdom
Java（高级）研发;阿贝力特科技(北京)有限公司;Beijing, Beijing, China
Java开发工程师;成都唐源电气股份有限公司;Chengdu, Sichuan, China
软件工程师;北京赛微电子股份有限公司;Beijing, Beijing, China
高级MCU软件工程师;江西联智集成电路有限公司;Shenzhen, Guangdong, China
Java开发工程师;中芯国际集成电路制造(上海)有限公司;Shanghai, Shanghai, China
嵌入式软件主管;英恒电子;Chengdu, Sichuan, China
Linux系统运维工程师;寒武纪科技;Beijing, Beijing, China
嵌入式linux工程师;英恒电子;Chongqing, Chongqing, China
Engineering Director (SoC Verification);Connexus Global | Value Chain Recruitment;Singapore, Singapore
嵌入式系统工程师;广州极飞科技股份有限公司;Guangzhou, Guangdong, China
车联网产品技术经理;Hirain Technology Lmt. Inc.;Beijing, Beijing, China
应用软件开发;Hirain Technology Lmt. Inc.;Beijing, Beijing, China
fpga工程师;联芸科技(杭州)有限公司;Hangzhou, Zhejiang, China
系统测试工程师-北京-02386;北京比特大陆科技有限公司;Beijing, Beijing, China
C++软件工程师;舜宇集团有限公司;Shanghai, Shanghai, China
系统测试工程师-深圳-02387;北京比特大陆科技有限公司;Shenzhen, Guangdong, China
java开发高级工程师;维信诺;Hefei, Anhui, China
L3协议栈高级软件工程师（5G基站）;深圳市共进电子股份有限公司;Shanghai, Shanghai, China
JAVA高级工程师;深圳市乐福衡器有限公司;Shenzhen, Guangdong, China
配置管理工程师;Hisense Group;Qingdao, Shandong, China
嵌入式软件工程师（芯片测试验证岗）;龙迅半导体(合肥)股份有限公司;Hefei, Anhui, China
前端开发工程师;Hirain Technology Lmt. Inc.;Shanghai, Shanghai, China
Software (Android developer);Maxim Integrated;Montreal, QC
Lead Embedded Software Engineer;Maxim Integrated;Istanbul, Istanbul, Turkey
Senior Software Developer;Maxim Integrated;Istanbul, Istanbul, Turkey
Senior Design Engineer;ChipTest Engineering Private Limited;Chennai, Tamil Nadu, India
PES006 - Firmware Engineer;Mistral Solutions Pvt. Ltd;Bengaluru, Karnataka, India
中、高级系统架构师1人;山东诺方电子科技有限公司;Jinan, Shandong, China
客户端开发工程师;上海雪湖科技有限公司;Shanghai, Shanghai, China
应用软件工程师;富瀚微电子;Shenzhen, Guangdong, China
数字IC前端验证;昆高新芯微电子(江苏)有限公司;Shanghai, Shanghai, China
Android开发工程师;迈创企业管理服务股份有限公司;Shanghai, Shanghai, China
安卓开发;迈创企业管理服务股份有限公司;Shanghai, Shanghai, China
智慧出入物联网产品经理;陕西大卫智能科技有限公司;Xi'an, Shaanxi, China
高级软件工程师;广州明美新能源股份有限公司;Guangzhou, Guangdong, China
高级Java工程师;深圳市天钧华信息技术有限公司;Shenzhen, Guangdong, China
芯片设计CAD工程师;上海灵动微电子股份有限公司;Shanghai, Shanghai, China
linuxc 应用软件工程师(J11725);大华技术;Hangzhou, Zhejiang, China
MES开发工程师;江西兆驰半导体有限公司;Nanchang, Jiangxi, China
固件测试工程师;国民技术股份;Shenzhen, Guangdong, China
资深项目经理;阿法迪;Shanghai, Shanghai, China
嵌入式软件开发（无人平台）;星网宇达;Beijing, Beijing, China
上位机软件工程师;星网宇达;Beijing, Beijing, China
Senior HPQC Administrator;Maxim India Integrated Circuit Design Pvt Ltd;Bengaluru, Karnataka, India
前端开发工程师;Jiaxing Super Lighting Electric Appliance Co., Ltd;Jiaxing, Zhejiang, China
安卓开发工程师(软件);益逻触控系统(苏州)有限公司;Suzhou, Jiangsu, China
持续集成工程师;Hirain Technology Lmt. Inc.;Beijing, Beijing, China
质量工程师;华太集团;Suzhou, Jiangsu, China
软件开发工程师（持续集成方向）;上海微电子;Shanghai, Shanghai, China
雷达DSP技术开发工程师;中科宇达(北京)科技有限公司;Beijing, Beijing, China
SCM（5G基站）;深圳市共进电子股份有限公司;Shanghai, Shanghai, China
软件工程师;国科微电子;Suzhou, Jiangsu, China
软件工程师;国科微电子;Changzhou, Jiangsu, China
软件工程师;国科微电子;Chengdu, Sichuan, China
web前端工程师;Sunwoda Electronics Corp;Shenzhen, Guangdong, China
嵌入式开发工程师;鼎合远传;Beijing, Beijing, China
